date,stage,team_a,team_b,actual_score,pred_score,xg_a,xg_b,p_a,p_draw,p_b,pred_90,actual_90,hit_90,exact_hit,rps,brier,logloss,abs_err_a,abs_err_b,p_advance_a,pred_winner,actual_winner,advance_hit,advance_brier,advance_logloss
2026-06-28,ko,South Africa,Canada,0-1,0-1,0.5556,1.4876,0.1236,0.2889,0.5875,A,A,1,1.0,0.0927,0.2688,0.5318,0.5556,0.4876,0.224,Canada,Canada,1.0,0.0502,0.2536
2026-06-29,ko,Brazil,Japan,2-1,1-1,1.1295,1.1774,0.3294,0.3175,0.3531,A,H,0,0.0,0.2872,0.6751,1.1104,0.8705,0.1774,0.49,Japan,Brazil,0.0,0.2601,0.7133
2026-06-29,ko,Germany,Paraguay,1-1 aet (pens 3-4),1-1,1.287,1.0373,0.4047,0.3131,0.2822,H,D,0,,0.1217,0.7153,1.1613,0.716,0.383,0.5748,Germany,Paraguay,0.0,0.3304,0.8552
2026-06-29,ko,Netherlands,Morocco,1-1 aet (pens 2-3),0-0,0.8101,1.0901,0.2514,0.3481,0.4005,A,D,0,,0.1118,0.6486,1.0552,0.0801,0.4535,0.4142,Morocco,Morocco,1.0,0.1716,0.5348
2026-06-30,ko,Ivory Coast,Norway,1-2,0-1,0.7638,1.507,0.1741,0.2918,0.534,A,A,1,0.0,0.1237,0.3326,0.6273,0.2362,0.493,0.2869,Norway,Norway,1.0,0.0823,0.3381
2026-06-30,ko,France,Sweden,3-0,2-0,2.2072,0.7618,0.6925,0.204,0.1035,H,H,1,0.0,0.0526,0.1469,0.3674,0.7928,0.7618,0.8363,France,France,1.0,0.0268,0.1787
2026-06-30,ko,Mexico,Ecuador,2-0,0-0,0.6403,0.9116,0.2283,0.3869,0.3848,D,H,0,0.0,0.3718,0.8932,1.477,1.3597,0.9116,0.4045,Ecuador,Mexico,0.0,0.3546,0.905
2026-07-01,ko,England,DR Congo,2-1,1-0,1.2365,0.4566,0.5462,0.3304,0.1234,H,H,1,0.0,0.1106,0.3303,0.6047,0.7635,0.5434,0.7627,England,England,1.0,0.0563,0.2709
2026-07-01,ko,Belgium,Senegal,3-2 aet,1-1,1.1478,1.0599,0.3595,0.3251,0.3153,H,D,0,,0.1144,0.6842,1.1236,1.4695,0.5869,0.5275,Belgium,Belgium,1.0,0.2233,0.6396
2026-07-01,ko,United States,Bosnia and Herzegovina,2-0,1-1,1.525,0.8842,0.5073,0.2901,0.2026,H,H,1,0.0,0.1419,0.368,0.6787,0.475,0.8842,0.682,United States,United States,1.0,0.1011,0.3827
2026-07-02,ko,Spain,Austria,3-0,2-0,1.8599,0.6773,0.6434,0.2407,0.1159,H,H,1,0.0,0.0703,0.1986,0.441,1.1401,0.6773,0.808,Spain,Spain,1.0,0.0369,0.2132
2026-07-02,ko,Portugal,Croatia,2-1,1-1,1.3843,0.929,0.4579,0.3065,0.2356,H,H,1,0.0,0.1747,0.4434,0.7812,0.6157,0.071,0.6315,Portugal,Portugal,1.0,0.1358,0.4596
2026-07-02,ko,Switzerland,Algeria,2-0,1-1,1.3235,1.0868,0.4036,0.3071,0.2893,H,H,1,0.0,0.2197,0.5337,0.9073,0.6765,1.0868,0.5697,Switzerland,Switzerland,1.0,0.1852,0.5627
2026-07-03,ko,Australia,Egypt,1-1 aet (pens 2-4),0-0,0.9749,0.7025,0.3903,0.3718,0.2379,H,D,0,,0.1045,0.6036,0.9895,0.2998,0.0633,0.5954,Australia,Egypt,0.0,0.3545,0.9048
2026-07-03,ko,Argentina,Cape Verde,3-2 aet,2-0,2.3102,0.3131,0.8209,0.149,0.0301,H,D,0,,0.3374,1.3989,1.9038,0.0803,1.5825,0.9392,Argentina,Argentina,1.0,0.0037,0.0628
2026-07-03,ko,Colombia,Ghana,1-0,2-0,2.2959,0.4862,0.7756,0.1708,0.0535,H,H,1,0.0,0.0266,0.0824,0.2541,1.2959,0.4862,0.905,Colombia,Colombia,1.0,0.009,0.0998
2026-07-04,ko,Canada,Morocco,0-3,0-0,0.6158,1.0161,0.2022,0.3703,0.4276,A,A,1,0.0,0.1843,0.5056,0.8496,0.6158,1.9839,0.3619,Morocco,Morocco,1.0,0.131,0.4492
2026-07-04,ko,Paraguay,France,0-1,0-0,0.7639,1.2158,0.216,0.3328,0.4513,A,A,1,0.0,0.1739,0.4585,0.7957,0.7639,0.2158,0.3523,France,France,1.0,0.1241,0.4343
2026-07-05,ko,Brazil,Norway,1-2,1-1,1.2829,1.3521,0.3369,0.294,0.3691,A,A,1,0.0,0.2557,0.5979,0.9966,0.2829,0.6479,0.4856,Norway,Norway,1.0,0.2358,0.6648
2026-07-05,ko,Mexico,England,2-3,0-0,0.6673,1.1922,0.191,0.3388,0.4702,A,A,1,0.0,0.1586,0.4319,0.7546,1.3327,1.8078,0.3315,England,England,1.0,0.1099,0.4027
